occipital neocortex,primary motor-sensory cortex (samples),amygdaloid complex,medial ganglionic eminence,posterior (caudal) superior temporal cortex (area 22c),upper (rostral) rhombic lip,caudal ganglionic eminence,dorsal thalamus,anterior (rostral) cingulate (medial prefrontal) cortex,dorsolateral prefrontal cortex,orbital frontal cortex,lateral ganglionic eminence,"inferolateral temporal cortex (area TEv, area 20)",hippocampus (hippocampal formation),ventrolateral prefrontal cortex,parietal neocortex
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018539
7.319562,8.075145,7.757651,7.298622,7.025598,12.119066,7.976557,7.167804,7.330818,6.401319,6.077906,8.082789,7.283509,7.770948,7.12277,8.081749
0.0,0.0,0.002857,0.0,0.0,0.015241,0.0,0.003113,0.0,0.0,0.005241,0.0,0.00822,0.0,0.00129,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.970263,19.055265,20.281539,17.111519,16.532207,11.154944,16.383627,13.721191,19.495467,20.779119,15.457394,15.903064,17.41982,17.962889,17.146033,19.451106
0.209633,0.192483,0.196659,0.090615,0.240679,0.107755,0.067715,0.032484,0.115385,0.164105,0.408762,0.082354,0.157664,0.315305,0.163794,0.129998
0.008707,0.0,0.07449,0.065067,0.03658,0.158773,0.025657,0.0,0.016497,0.0,0.034121,0.067723,0.070628,0.064642,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.002956,1.114746,0.515764,0.890394,0.826124,0.264142,0.836094,0.316863,1.058317,0.945752,0.563326,0.932152,0.546751,0.983456,0.82744,0.972012
0.870045,1.251418,1.905544,1.426688,1.511414,1.590277,1.376928,1.395828,1.413133,1.537229,2.348414,1.805127,1.234746,1.310335,1.304924,1.323952
57.908995,44.274222,100.123161,75.648995,47.624751,50.031306,98.351704,56.445157,70.601168,58.828646,98.088788,66.714376,63.719914,87.013623,44.078307,47.869405
0.0,0.021134,0.0,0.0,0.0,0.087535,0.0,0.0,0.0,0.0,0.054092,0.0,0.0,0.023169,0.0,0.011571
1.756129,2.572922,8.938467,3.411752,4.878552,12.567068,2.332755,5.723534,2.299685,1.721065,3.188729,5.653241,7.400625,1.925105,3.023408,2.049645
14.271863,13.665941,10.288158,16.37133,10.579937,4.909743,17.565559,5.322998,14.780516,12.039603,12.032012,11.974744,10.112344,12.192629,11.289221,11.429454
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.329606,3.466383,2.268611,2.862502,2.939645,1.917046,3.09827,2.928354,3.535505,3.831517,3.203892,2.981806,3.366858,3.609629,3.504091,3.466319
5.666314,5.782727,2.347783,3.808136,5.956012,2.256678,4.104366,2.457184,5.607006,7.065204,5.751518,3.535866,3.779027,4.809944,7.221233,5.158238
9.428372,9.796919,6.276312,6.776176,8.043909,5.427766,9.983807,4.831246,7.609013,7.623988,6.764108,8.16029,6.557631,7.127728,8.876259,9.610102
0.471655,0.538846,2.195591,1.661405,0.836283,2.792206,1.105196,0.849427,0.527772,0.338742,0.776951,1.93029,1.438012,0.899791,0.501331,0.618307
1.541205,1.616875,1.190303,1.222172,1.828928,1.259482,1.081823,1.041419,2.946827,2.138693,4.754019,1.25266,1.195314,3.569,1.470051,1.555225
5.968698,6.566882,6.06902,5.748711,5.927529,6.682394,7.293029,5.000803,4.994948,5.782925,5.772363,6.153674,5.45562,5.298695,5.95807,5.526955
55.050392,36.005872,35.65342,42.003072,37.269707,34.77715,42.608921,41.247352,53.838962,56.894837,44.560069,35.638419,33.643753,46.2855,43.919088,44.070068
0.27694,0.51403,0.658826,0.492518,0.424949,0.910956,0.416439,0.234419,0.279268,0.288309,0.513756,0.618372,0.727179,0.443213,0.30877,0.492213
9.761433,9.579839,3.726621,5.907374,6.56683,3.157253,6.793129,4.750666,8.238215,10.447128,5.680612,4.592917,5.738429,6.012907,10.41413,8.875563
0.322905,0.400025,0.230076,0.175346,0.534971,0.328311,0.100462,0.052895,0.217306,0.308892,0.578971,0.156332,0.149089,0.621818,0.193316,0.362212
0.0,0.0,0.031932,0.0,0.046102,0.0,0.0,0.0,0.032842,0.0,0.033964,0.0,0.032719,0.0,0.0,0.013441
2.424038,1.814674,2.008344,1.627658,5.014849,1.954489,1.214083,1.52838,1.610387,1.897525,21.315358,1.046272,1.343587,3.902349,1.704411,2.283106
7.820747,6.110297,5.93615,6.326173,5.81556,5.682412,5.6936,5.36095,6.820845,9.218738,7.491361,5.429643,5.842392,8.863552,6.702637,5.75508
