ensembl_gene_id,occipital neocortex,primary motor-sensory cortex (samples),amygdaloid complex,medial ganglionic eminence,posterior (caudal) superior temporal cortex (area 22c),upper (rostral) rhombic lip,caudal ganglionic eminence,dorsal thalamus,anterior (rostral) cingulate (medial prefrontal) cortex,dorsolateral prefrontal cortex,orbital frontal cortex,lateral ganglionic eminence,"inferolateral temporal cortex (area TEv, area 20)",hippocampus (hippocampal formation),ventrolateral prefrontal cortex,parietal neocortex,geneID
ENSG00000172893,19.064773,16.639866,13.073864,14.22549,16.889672,14.105901,15.920297,25.935392,16.066705,14.686205,10.279134,13.639023,15.532191,19.127108,16.320167,19.049731,ENSG00000172893
ENSG00000172900,0.010302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012923,0.0,0.0,0.0,0.0,0.021724,0.0,0.0,ENSG00000172900
ENSG00000172901,0.005351,0.032847,0.046226,0.03525,0.033837,0.038163,0.010656,0.030518,0.006713,0.022099,0.020923,0.053635,0.015298,0.00572,0.014062,0.027699,ENSG00000172901
ENSG00000172912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENSG00000172912
ENSG00000172915,8.953906,20.473991,15.743899,10.159866,33.050548,16.969454,12.593466,17.0746,7.413124,6.74583,7.189429,13.187149,24.969241,7.677379,14.810937,18.103982,ENSG00000172915
ENSG00000172922,18.052401,14.476978,13.697064,16.830504,12.881795,12.014509,17.521674,15.049102,18.086284,21.747006,17.66781,14.380244,11.779701,16.973987,16.88621,14.529864,ENSG00000172922
ENSG00000172927,0.0,0.0,0.0,0.008916,0.010033,0.011087,0.0,0.010844,0.0,0.0,0.0,0.021157,0.0,0.0,0.0,0.0,ENSG00000172927
ENSG00000172932,2.385791,3.781523,5.381988,3.090302,3.963079,8.929365,2.744431,6.543008,2.24178,2.767176,3.505082,4.729395,4.702212,2.500294,3.0125,3.426491,ENSG00000172932
ENSG00000172935,1.068591,0.519599,0.480458,0.166009,3.364385,0.307983,0.038723,0.029735,0.362484,0.463766,2.623626,0.058013,0.460237,0.62243,0.698387,0.813854,ENSG00000172935
ENSG00000172936,11.592439,10.766946,9.489394,10.583238,10.310851,5.402734,8.232571,5.217867,8.377306,12.328128,8.618183,8.975863,8.609979,8.256523,11.594064,11.690383,ENSG00000172936
ENSG00000172938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENSG00000172938
ENSG00000172939,15.912794,16.275554,14.051101,17.740313,15.093371,11.590154,16.183113,15.702795,16.195848,13.667264,12.789188,16.747488,14.256561,16.407436,14.867097,16.568028,ENSG00000172939
